timestamp,ip_address,method,url,status_code
2026-09-05 16:06:01,172.16.0.4,GET,/login,200
2026-09-05 16:06:04,172.16.0.4,GET,/dashboard,200
2026-09-05 16:06:07,10.0.0.15,GET,/contact,200
2026-09-05 16:06:10,10.0.0.15,GET,/api/v1/profile,200
2026-09-05 16:06:13,172.16.0.4,GET,/dashboard,200
2026-09-05 16:06:16,172.16.0.4,GET,/api/v1/profile,200
2026-09-05 16:06:19,172.16.0.4,GET,/dashboard,200
2026-09-05 16:06:22,10.0.0.15,GET,/dashboard,200
2026-09-05 16:06:25,10.0.0.15,GET,/login,200
2026-09-05 16:06:28,192.168.1.10,GET,/dashboard,200
2026-09-05 16:06:31,172.16.0.4,GET,/api/v1/profile,200
2026-09-05 16:06:34,172.16.0.4,GET,/dashboard,200
2026-09-05 16:06:37,172.16.0.4,GET,/home,200
2026-09-05 16:06:40,172.16.0.4,GET,/contact,200
2026-09-05 16:06:43,192.168.1.10,GET,/dashboard,200
2026-09-05 16:06:46,172.16.0.4,GET,/login,401
2026-09-05 16:06:49,172.16.0.4,GET,/api/v1/profile,200
2026-09-05 16:06:52,172.16.0.4,GET,/api/v1/profile,200
2026-09-05 16:06:55,10.0.0.15,GET,/login,200
2026-09-05 16:06:58,192.168.1.10,GET,/api/v1/profile,200
2026-09-05 16:07:01,10.0.0.15,GET,/home,200
2026-09-05 16:07:04,192.168.1.10,GET,/login,200
2026-09-05 16:07:07,172.16.0.4,GET,/login,200
2026-09-05 16:07:10,10.0.0.15,GET,/dashboard,200
2026-09-05 16:07:13,172.16.0.4,GET,/home,200
2026-09-05 16:07:16,10.0.0.15,GET,/dashboard,200
2026-09-05 16:07:19,10.0.0.15,GET,/home,200
2026-09-05 16:07:22,10.0.0.15,GET,/api/v1/profile,200
2026-09-05 16:07:25,10.0.0.15,GET,/home,200
2026-09-05 16:07:28,10.0.0.15,GET,/login,401
2026-09-05 16:07:31,10.0.0.15,GET,/contact,200
2026-09-05 16:07:34,10.0.0.15,GET,/home,200
2026-09-05 16:07:37,10.0.0.15,GET,/dashboard,200
2026-09-05 16:07:40,192.168.1.10,GET,/home,200
2026-09-05 16:07:43,172.16.0.4,GET,/login,401
2026-09-05 16:07:46,172.16.0.4,GET,/contact,200
2026-09-05 16:07:49,172.16.0.4,GET,/login,401
